24x14
4,4,13,10,10,10,10,10,10,10,10,5,7,10,10,10,10,10,10,10,10,14,4,4,
4,4,8,3,2,3,2,2,2,3,2,3,2,2,2,3,2,3,2,2,2,11,4,4,
4,4,8,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,11,4,4,
4,4,8,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,11,4,4,
4,4,8,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,11,4,4,
4,4,8,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,11,4,4,
4,4,8,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,11,4,4,
4,4,8,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,11,4,4,
4,4,8,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,11,4,4,
4,4,8,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,11,4,4,
4,4,8,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,11,4,4,
4,4,8,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,11,4,4,
4,4,8,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,11,4,4,
4,4,16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15,4,4
